enseignant_id,full_name,status,qualification,department,date_embauche,email
ENS0001,Salma Sabri,Permanent,Docteur,Électronique,2007-03-06,enseignant1@ecole.ma
ENS0002,Karim Tazi,Vacataire,Docteur,Énergie,2007-03-12,enseignant2@ecole.ma
ENS0003,Karim Idrissi,Vacataire,Doctorant,Industrielle,2007-03-04,enseignant3@ecole.ma
ENS0004,Omar Rami,Permanent,Docteur,Cybersécurité,2007-03-10,enseignant4@ecole.ma
ENS0005,Yasmine Sabri,Permanent,Docteur,Énergie,2007-03-09,enseignant5@ecole.ma
ENS0006,Amina Alami,Permanent,Docteur,Télécommunications,2007-03-12,enseignant6@ecole.ma
ENS0007,Aisha Mansouri,Permanent,Doctorant,Informatique,2007-03-09,enseignant7@ecole.ma
ENS0008,Ahmed Benali,Permanent,Doctorant,Cybersécurité,2007-03-03,enseignant8@ecole.ma
ENS0009,Omar Rami,Permanent,Docteur,Énergie,2007-03-16,enseignant9@ecole.ma
ENS0010,Fatima Sabri,Permanent,Docteur,Informatique,2007-03-11,enseignant10@ecole.ma
ENS0011,Mehdi Benali,Vacataire,Doctorant,Télécommunications,2007-03-06,enseignant11@ecole.ma
ENS0012,Mohamed Benjelloun,Permanent,Docteur,Énergie,2007-03-04,enseignant12@ecole.ma
ENS0013,Ahmed Sabri,Vacataire,Docteur,Industrielle,2007-03-14,enseignant13@ecole.ma
ENS0014,Salma Mansouri,Vacataire,Doctorant,Informatique,2007-03-10,enseignant14@ecole.ma
ENS0015,Salma Berrada,Permanent,Doctorant,Télécommunications,2007-03-05,enseignant15@ecole.ma
ENS0016,Mehdi Benjelloun,Vacataire,Docteur,Énergie,2007-03-13,enseignant16@ecole.ma
ENS0017,Ahmed Chakir,Permanent,Docteur,Énergie,2007-03-08,enseignant17@ecole.ma
ENS0018,Ali Benali,Permanent,Docteur,Électronique,2007-03-14,enseignant18@ecole.ma
ENS0019,Nour Rami,Vacataire,Docteur,Énergie,2007-03-04,enseignant19@ecole.ma
ENS0020,Nour Benjelloun,Vacataire,Docteur,Cybersécurité,2007-03-13,enseignant20@ecole.ma
ENS0021,Khadija Benali,Permanent,Docteur,Électronique,2007-03-10,enseignant21@ecole.ma
ENS0022,Nour Benali,Permanent,Docteur,Industrielle,2007-03-13,enseignant22@ecole.ma
ENS0023,Ali Naciri,Permanent,Doctorant,Énergie,2007-03-15,enseignant23@ecole.ma
ENS0024,Aisha Idrissi,Permanent,Docteur,Cybersécurité,2007-03-04,enseignant24@ecole.ma
ENS0025,Hassan Sabri,Vacataire,Doctorant,Énergie,2007-03-06,enseignant25@ecole.ma
ENS0026,Mehdi Naciri,Permanent,Docteur,Électronique,2007-03-07,enseignant26@ecole.ma
ENS0027,Ali Chakir,Permanent,Docteur,Informatique,2007-03-04,enseignant27@ecole.ma
ENS0028,Khadija Benjelloun,Permanent,Docteur,Cybersécurité,2007-03-11,enseignant28@ecole.ma
ENS0029,Yasmine El Amrani,Permanent,Doctorant,Cybersécurité,2007-03-13,enseignant29@ecole.ma
ENS0030,Yasmine Rami,Permanent,Docteur,Cybersécurité,2007-03-08,enseignant30@ecole.ma
ENS0031,Mehdi Chakir,Vacataire,Docteur,Industrielle,2007-03-10,enseignant31@ecole.ma
ENS0032,Fatima El Amrani,Permanent,Docteur,Électronique,2007-03-04,enseignant32@ecole.ma
ENS0033,Fatima Idrissi,Permanent,Docteur,Énergie,2007-03-05,enseignant33@ecole.ma
ENS0034,Salma Idrissi,Permanent,Doctorant,Énergie,2007-03-03,enseignant34@ecole.ma
ENS0035,Youssef Fassi,Vacataire,Doctorant,Industrielle,2007-03-10,enseignant35@ecole.ma
ENS0036,Khadija Fassi,Permanent,Doctorant,Énergie,2007-03-03,enseignant36@ecole.ma
ENS0037,Youssef Alami,Permanent,Docteur,Industrielle,2007-03-16,enseignant37@ecole.ma
ENS0038,Ali Chakir,Permanent,Docteur,Cybersécurité,2007-03-08,enseignant38@ecole.ma
ENS0039,Hassan Chakir,Permanent,Docteur,Cybersécurité,2007-03-13,enseignant39@ecole.ma
ENS0040,Amina Rami,Vacataire,Docteur,Télécommunications,2007-03-07,enseignant40@ecole.ma
ENS0041,Nour Idrissi,Permanent,Docteur,Électronique,2007-03-06,enseignant41@ecole.ma
ENS0042,Salma Benjelloun,Permanent,Docteur,Industrielle,2007-03-08,enseignant42@ecole.ma
ENS0043,Youssef Sabri,Permanent,Doctorant,Industrielle,2007-03-14,enseignant43@ecole.ma
ENS0044,Ali Tazi,Permanent,Docteur,Énergie,2007-03-14,enseignant44@ecole.ma
ENS0045,Karim Chakir,Permanent,Docteur,Industrielle,2007-03-04,enseignant45@ecole.ma
ENS0046,Ahmed Benjelloun,Vacataire,Docteur,Télécommunications,2007-03-07,enseignant46@ecole.ma
ENS0047,Khadija Idrissi,Permanent,Doctorant,Énergie,2007-03-03,enseignant47@ecole.ma
ENS0048,Hassan Benjelloun,Permanent,Docteur,Électronique,2007-03-10,enseignant48@ecole.ma
ENS0049,Ali Idrissi,Vacataire,Docteur,Informatique,2007-03-03,enseignant49@ecole.ma
ENS0050,Omar Sabri,Permanent,Docteur,Électronique,2007-03-05,enseignant50@ecole.ma
ENS0051,Ahmed Naciri,Vacataire,Doctorant,Électronique,2007-03-13,enseignant51@ecole.ma
ENS0052,Amina Tazi,Permanent,Docteur,Cybersécurité,2007-03-13,enseignant52@ecole.ma
ENS0053,Mohamed Berrada,Vacataire,Doctorant,Télécommunications,2007-03-08,enseignant53@ecole.ma
ENS0054,Amina El Amrani,Vacataire,Docteur,Informatique,2007-03-05,enseignant54@ecole.ma
ENS0055,Hassan Rami,Permanent,Docteur,Informatique,2007-03-09,enseignant55@ecole.ma
ENS0056,Nour Alami,Permanent,Docteur,Informatique,2007-03-08,enseignant56@ecole.ma
ENS0057,Ahmed Mansouri,Vacataire,Docteur,Cybersécurité,2007-03-11,enseignant57@ecole.ma
ENS0058,Aisha Berrada,Permanent,Docteur,Informatique,2007-03-04,enseignant58@ecole.ma
ENS0059,Ali Sabri,Vacataire,Doctorant,Informatique,2007-03-11,enseignant59@ecole.ma
ENS0060,Omar Alami,Permanent,Docteur,Cybersécurité,2007-03-12,enseignant60@ecole.ma
ENS0061,Ali Benali,Vacataire,Docteur,Télécommunications,2007-03-05,enseignant61@ecole.ma
ENS0062,Amina Fassi,Permanent,Docteur,Électronique,2007-03-03,enseignant62@ecole.ma
ENS0063,Youssef Benjelloun,Permanent,Docteur,Télécommunications,2007-03-16,enseignant63@ecole.ma
ENS0064,Ali El Amrani,Permanent,Doctorant,Télécommunications,2007-03-14,enseignant64@ecole.ma
ENS0065,Omar Berrada,Permanent,Docteur,Industrielle,2007-03-15,enseignant65@ecole.ma
ENS0066,Amina Fassi,Vacataire,Docteur,Industrielle,2007-03-16,enseignant66@ecole.ma
ENS0067,Nour Mansouri,Permanent,Docteur,Industrielle,2007-03-07,enseignant67@ecole.ma
ENS0068,Salma Rami,Permanent,Docteur,Cybersécurité,2007-03-15,enseignant68@ecole.ma
ENS0069,Omar El Amrani,Permanent,Docteur,Énergie,2007-03-07,enseignant69@ecole.ma
ENS0070,Omar Idrissi,Vacataire,Docteur,Énergie,2007-03-12,enseignant70@ecole.ma
ENS0071,Mehdi Idrissi,Permanent,Docteur,Télécommunications,2007-03-07,enseignant71@ecole.ma
ENS0072,Ali Sabri,Permanent,Docteur,Cybersécurité,2007-03-07,enseignant72@ecole.ma
ENS0073,Salma Rami,Vacataire,Docteur,Industrielle,2007-03-03,enseignant73@ecole.ma
ENS0074,Mehdi Benali,Permanent,Docteur,Électronique,2007-03-13,enseignant74@ecole.ma
ENS0075,Yasmine Chakir,Permanent,Docteur,Énergie,2007-03-13,enseignant75@ecole.ma
ENS0076,Karim Tazi,Permanent,Docteur,Télécommunications,2007-03-14,enseignant76@ecole.ma
ENS0077,Hassan Alami,Permanent,Docteur,Électronique,2007-03-10,enseignant77@ecole.ma
ENS0078,Fatima Mansouri,Vacataire,Docteur,Cybersécurité,2007-03-10,enseignant78@ecole.ma
ENS0079,Nour Fassi,Permanent,Doctorant,Énergie,2007-03-10,enseignant79@ecole.ma
