student_id,full_name,gender,date_naissance,level,cycle,annee_inscription,status,filiere_id,group_id
STU00143,Rida Essalhi,M,2004-03-28,AP1,PREPA,2024,Actif,7,3
STU00001,Omar Jaidi,M,2005-10-27,AP1,PREPA,2024,Actif,7,1
STU00144,Rachid Tabbakh,M,2002-12-27,AP1,PREPA,2024,Actif,7,4
STU00002,Abdelilah Ibrahimi,M,2003-07-30,AP1,PREPA,2024,Actif,7,2
STU00145,Sara Naciri,F,2002-10-27,AP1,PREPA,2024,Actif,7,5
STU00003,Ghali Erraji,M,2006-06-29,AP1,PREPA,2024,Actif,7,3
STU00146,Dounia Abdelmajid,F,2000-11-26,AP1,PREPA,2024,Actif,7,6
STU00004,Yassir Oudghiri,M,2002-02-27,AP1,PREPA,2024,Actif,7,4
STU00147,Widad Mabrouki,F,2006-12-27,AP1,PREPA,2024,Actif,7,7
STU00005,Aziz Marrakchi,M,2003-05-29,AP1,PREPA,2024,Actif,7,5
STU00148,Malek Fassi,M,2000-05-28,AP1,PREPA,2024,Actif,7,8
STU00006,Jihane Abdelkarim,F,2007-03-29,AP1,PREPA,2024,Actif,7,6
STU00149,Anir Tetuani,M,2001-04-28,AP1,PREPA,2024,Actif,7,9
STU00007,Driss Zaari,M,2004-08-26,AP1,PREPA,2024,Actif,7,7
STU00150,Chakib Alaoui,M,2004-09-26,AP1,PREPA,2024,Actif,7,10
STU00008,Tissila Azergui,F,2004-08-26,AP1,PREPA,2024,Actif,7,8
STU00151,Kamal Ben Tahar,M,2002-09-27,AP1,PREPA,2024,Actif,7,1
STU00009,Halima El Alami,F,2001-12-27,AP1,PREPA,2024,Actif,7,9
STU00152,Ilham El Kadiri,F,2005-03-28,AP1,PREPA,2024,Actif,7,2
STU00010,Meryem Mazigh,F,2007-03-29,AP1,PREPA,2024,Actif,7,10
STU00153,Majda Senhaji,F,2003-11-27,AP1,PREPA,2024,Actif,7,3
STU00011,Abderrahmane Abderrahmane,M,2002-02-27,AP1,PREPA,2024,Actif,7,1
STU00154,Faouzi Znagui,M,2007-08-27,AP1,PREPA,2024,Actif,7,4
STU00012,Naima Zahraoui,F,2000-10-26,AP1,PREPA,2024,Actif,7,2
STU00155,Ezzedine Benjelloun,M,2000-10-26,AP1,PREPA,2024,Actif,7,5
STU00013,Aziza Ait Moulay,F,2001-05-28,AP1,PREPA,2024,Actif,7,3
STU00156,Aicha Elmalki,F,2000-09-26,AP1,PREPA,2024,Actif,7,6
STU00014,Rafik Agadiri,M,2000-10-26,AP1,PREPA,2024,Actif,7,4
STU00157,Khalid Chafik,M,2001-10-27,AP1,PREPA,2024,Actif,7,7
STU00015,Tariq Zouiten,M,2004-10-26,AP1,PREPA,2024,Actif,7,5
STU00158,Brahim Tahri,M,2001-06-28,AP1,PREPA,2024,Actif,7,8
STU00016,Aya Tanjaoui,F,2004-11-26,AP1,PREPA,2024,Actif,7,6
STU00159,Houria Tanjaoui,F,2006-07-30,AP1,PREPA,2024,Actif,7,9
STU00017,Majda Benslimane,F,2001-04-28,AP1,PREPA,2024,Actif,7,7
STU00160,Aisha Amrani,F,2002-01-27,AP1,PREPA,2024,Actif,7,10
STU00018,Wissam Guedira,M,2003-09-27,AP1,PREPA,2024,Actif,7,8
STU00161,Dihya Sabbagh,F,2005-01-26,AP1,PREPA,2024,Actif,7,1
STU00019,Tayri Haouzi,F,2005-04-28,AP1,PREPA,2024,Actif,7,9
STU00162,Fayçal Ait Said,M,2007-05-29,AP1,PREPA,2024,Actif,7,2
STU00020,Yacine Atiki,M,2005-06-28,AP1,PREPA,2024,Actif,7,10
STU00163,Fadwa Zaari,F,2007-02-27,AP1,PREPA,2024,Actif,7,3
STU00021,Amazigh Lahlou,M,2000-10-26,AP1,PREPA,2024,Actif,7,1
STU00164,Loubna Abdellah,F,2001-05-28,AP1,PREPA,2024,Actif,7,4
STU00022,Brahim Elmalki,M,2004-11-26,AP1,PREPA,2024,Actif,7,2
STU00165,Tamurt Sahraoui,F,2006-07-30,AP1,PREPA,2024,Actif,7,5
STU00023,Aicha Tabbakh,F,2003-01-27,AP1,PREPA,2024,Actif,7,3
STU00166,Nisrine Mabrouki,F,2001-01-26,AP1,PREPA,2024,Actif,7,6
STU00024,Rahma Riffi,F,2000-05-28,AP1,PREPA,2024,Actif,7,4
STU00167,Tissila Alaoui,F,2002-01-27,AP1,PREPA,2024,Actif,7,7
STU00025,Rayhana Zoulikha,F,2000-12-26,AP1,PREPA,2024,Actif,7,5
STU00168,Sara Boujemaa,F,2001-09-27,AP1,PREPA,2024,Actif,7,8
STU00026,Dihya Meknassi,F,2006-08-27,AP1,PREPA,2024,Actif,7,6
STU00169,Tissila Azergui,F,2005-03-28,AP1,PREPA,2024,Actif,7,9
STU00027,Samira Mekouar,F,2001-06-28,AP1,PREPA,2024,Actif,7,7
STU00170,Amal El Amrani,F,2005-02-26,AP1,PREPA,2024,Actif,7,10
STU00028,Abdessamad Makkaoui,M,2007-08-27,AP1,PREPA,2024,Actif,7,8
STU00171,Nabil Ennibi,M,2005-12-27,AP1,PREPA,2024,Actif,7,1
STU00029,Chadia Filali,F,2002-12-27,AP1,PREPA,2024,Actif,7,9
STU00172,Zakariya Boucetta,M,2005-04-28,AP1,PREPA,2024,Actif,7,2
STU00030,Rania Zayani,F,2002-02-27,AP1,PREPA,2024,Actif,7,10
STU00173,Jamila Tijani,F,2000-06-28,AP1,PREPA,2024,Actif,7,3
STU00031,Yacine Ennibi,M,2003-07-30,AP1,PREPA,2024,Actif,7,1
STU00174,Jihane Rahmouni,F,2006-05-29,AP1,PREPA,2024,Actif,7,4
STU00032,Soundous Tabbakh,F,2001-11-27,AP1,PREPA,2024,Actif,7,2
