stage_id,student_id,entreprise_id,type_stage,filiere_id,semestre_id,date_debut,date_fin,encadrant_nom,grade,status
STG00001,STU00001,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Mansouri,16.15,TERMINE
STG00002,STU00002,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Chakir,14.08,TERMINE
STG00003,STU00003,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Sabri,14.09,TERMINE
STG00004,STU00005,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Naciri,16.92,TERMINE
STG00005,STU00007,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Rami,15.01,TERMINE
STG00006,STU00008,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Idrissi,14.28,TERMINE
STG00007,STU00009,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Nour El Amrani,17.53,TERMINE
STG00008,STU00010,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Idrissi,14.87,TERMINE
STG00009,STU00011,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Chakir,15.41,TERMINE
STG00010,STU00012,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Sabri,17.68,TERMINE
STG00011,STU00014,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Alami,16.2,TERMINE
STG00012,STU00015,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Alami,17.99,TERMINE
STG00013,STU00016,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Naciri,17.5,TERMINE
STG00014,STU00017,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Fassi,17.75,TERMINE
STG00015,STU00018,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Berrada,14.96,TERMINE
STG00016,STU00019,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Naciri,16.27,TERMINE
STG00017,STU00020,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Naciri,14.46,TERMINE
STG00018,STU00021,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef El Amrani,14.21,TERMINE
STG00019,STU00022,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Mansouri,15.06,TERMINE
STG00020,STU00023,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Berrada,16.05,TERMINE
STG00021,STU00024,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Idrissi,15.17,TERMINE
STG00022,STU00026,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Naciri,17.04,TERMINE
STG00023,STU00027,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Tazi,14.22,TERMINE
STG00024,STU00028,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Benali,17.17,TERMINE
STG00025,STU00029,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Alami,16.96,TERMINE
STG00026,STU00030,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Mansouri,15.04,TERMINE
STG00027,STU00031,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Berrada,14.44,TERMINE
STG00028,STU00032,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima El Amrani,17.1,TERMINE
STG00029,STU00033,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Chakir,16.07,TERMINE
STG00030,STU00034,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Mansouri,16.12,TERMINE
STG00031,STU00035,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Amina El Amrani,16.03,TERMINE
STG00032,STU00036,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Tazi,17.69,TERMINE
STG00033,STU00038,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Sabri,14.46,TERMINE
STG00034,STU00039,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Rami,17.55,TERMINE
STG00035,STU00040,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Chakir,14.57,TERMINE
STG00036,STU00041,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine El Amrani,17.35,TERMINE
STG00037,STU00042,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Idrissi,16.19,TERMINE
STG00038,STU00044,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Mansouri,15.93,TERMINE
STG00039,STU00045,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Tazi,16.76,TERMINE
STG00040,STU00046,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Benali,14.56,TERMINE
STG00041,STU00047,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Idrissi,14.23,TERMINE
STG00042,STU00048,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Rami,17.57,TERMINE
STG00043,STU00049,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Berrada,15.99,TERMINE
STG00044,STU00050,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Fassi,17.44,TERMINE
STG00045,STU00051,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Tazi,17.14,TERMINE
STG00046,STU00052,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Tazi,16.89,TERMINE
STG00047,STU00053,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Berrada,14.36,TERMINE
STG00048,STU00054,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Rami,15.17,TERMINE
