EnseignantID;FullName;Status;Qualification;Department;HireDate;Email
ENS0001;Salma Sabri;PERMANENT;DOCTEUR;Électronique;2007-03-06;enseignant1@ecole.ma
ENS0002;Karim Tazi;VACATAIRE;DOCTEUR;Énergie;2007-03-12;enseignant2@ecole.ma
ENS0003;Karim Idrissi;VACATAIRE;DOCTORANT;Industrielle;2007-03-04;enseignant3@ecole.ma
ENS0004;Omar Rami;PERMANENT;DOCTEUR;Cybersécurité;2007-03-10;enseignant4@ecole.ma
ENS0005;Yasmine Sabri;PERMANENT;DOCTEUR;Énergie;2007-03-09;enseignant5@ecole.ma
ENS0006;Amina Alami;PERMANENT;DOCTEUR;Télécommunications;2007-03-12;enseignant6@ecole.ma
ENS0007;Aisha Mansouri;PERMANENT;DOCTORANT;Informatique;2007-03-09;enseignant7@ecole.ma
ENS0008;Ahmed Benali;PERMANENT;DOCTORANT;Cybersécurité;2007-03-03;enseignant8@ecole.ma
ENS0009;Omar Rami;PERMANENT;DOCTEUR;Énergie;2007-03-16;enseignant9@ecole.ma
ENS0010;Fatima Sabri;PERMANENT;DOCTEUR;Informatique;2007-03-11;enseignant10@ecole.ma
ENS0011;Mehdi Benali;VACATAIRE;DOCTORANT;Télécommunications;2007-03-06;enseignant11@ecole.ma
ENS0012;Mohamed Benjelloun;PERMANENT;DOCTEUR;Énergie;2007-03-04;enseignant12@ecole.ma
ENS0013;Ahmed Sabri;VACATAIRE;DOCTEUR;Industrielle;2007-03-14;enseignant13@ecole.ma
ENS0014;Salma Mansouri;VACATAIRE;DOCTORANT;Informatique;2007-03-10;enseignant14@ecole.ma
ENS0015;Salma Berrada;PERMANENT;DOCTORANT;Télécommunications;2007-03-05;enseignant15@ecole.ma
ENS0016;Mehdi Benjelloun;VACATAIRE;DOCTEUR;Énergie;2007-03-13;enseignant16@ecole.ma
ENS0017;Ahmed Chakir;PERMANENT;DOCTEUR;Énergie;2007-03-08;enseignant17@ecole.ma
ENS0018;Ali Benali;PERMANENT;DOCTEUR;Électronique;2007-03-14;enseignant18@ecole.ma
ENS0019;Nour Rami;VACATAIRE;DOCTEUR;Énergie;2007-03-04;enseignant19@ecole.ma
ENS0020;Nour Benjelloun;VACATAIRE;DOCTEUR;Cybersécurité;2007-03-13;enseignant20@ecole.ma
ENS0021;Khadija Benali;PERMANENT;DOCTEUR;Électronique;2007-03-10;enseignant21@ecole.ma
ENS0022;Nour Benali;PERMANENT;DOCTEUR;Industrielle;2007-03-13;enseignant22@ecole.ma
ENS0023;Ali Naciri;PERMANENT;DOCTORANT;Énergie;2007-03-15;enseignant23@ecole.ma
ENS0024;Aisha Idrissi;PERMANENT;DOCTEUR;Cybersécurité;2007-03-04;enseignant24@ecole.ma
ENS0025;Hassan Sabri;VACATAIRE;DOCTORANT;Énergie;2007-03-06;enseignant25@ecole.ma
ENS0026;Mehdi Naciri;PERMANENT;DOCTEUR;Électronique;2007-03-07;enseignant26@ecole.ma
ENS0027;Ali Chakir;PERMANENT;DOCTEUR;Informatique;2007-03-04;enseignant27@ecole.ma
ENS0028;Khadija Benjelloun;PERMANENT;DOCTEUR;Cybersécurité;2007-03-11;enseignant28@ecole.ma
ENS0029;Yasmine El Amrani;PERMANENT;DOCTORANT;Cybersécurité;2007-03-13;enseignant29@ecole.ma
ENS0030;Yasmine Rami;PERMANENT;DOCTEUR;Cybersécurité;2007-03-08;enseignant30@ecole.ma
ENS0031;Mehdi Chakir;VACATAIRE;DOCTEUR;Industrielle;2007-03-10;enseignant31@ecole.ma
ENS0032;Fatima El Amrani;PERMANENT;DOCTEUR;Électronique;2007-03-04;enseignant32@ecole.ma
ENS0033;Fatima Idrissi;PERMANENT;DOCTEUR;Énergie;2007-03-05;enseignant33@ecole.ma
ENS0034;Salma Idrissi;PERMANENT;DOCTORANT;Énergie;2007-03-03;enseignant34@ecole.ma
ENS0035;Youssef Fassi;VACATAIRE;DOCTORANT;Industrielle;2007-03-10;enseignant35@ecole.ma
ENS0036;Khadija Fassi;PERMANENT;DOCTORANT;Énergie;2007-03-03;enseignant36@ecole.ma
ENS0037;Youssef Alami;PERMANENT;DOCTEUR;Industrielle;2007-03-16;enseignant37@ecole.ma
ENS0038;Ali Chakir;PERMANENT;DOCTEUR;Cybersécurité;2007-03-08;enseignant38@ecole.ma
ENS0039;Hassan Chakir;PERMANENT;DOCTEUR;Cybersécurité;2007-03-13;enseignant39@ecole.ma
ENS0040;Amina Rami;VACATAIRE;DOCTEUR;Télécommunications;2007-03-07;enseignant40@ecole.ma
ENS0041;Nour Idrissi;PERMANENT;DOCTEUR;Électronique;2007-03-06;enseignant41@ecole.ma
ENS0042;Salma Benjelloun;PERMANENT;DOCTEUR;Industrielle;2007-03-08;enseignant42@ecole.ma
ENS0043;Youssef Sabri;PERMANENT;DOCTORANT;Industrielle;2007-03-14;enseignant43@ecole.ma
ENS0044;Ali Tazi;PERMANENT;DOCTEUR;Énergie;2007-03-14;enseignant44@ecole.ma
ENS0045;Karim Chakir;PERMANENT;DOCTEUR;Industrielle;2007-03-04;enseignant45@ecole.ma
ENS0046;Ahmed Benjelloun;VACATAIRE;DOCTEUR;Télécommunications;2007-03-07;enseignant46@ecole.ma
ENS0047;Khadija Idrissi;PERMANENT;DOCTORANT;Énergie;2007-03-03;enseignant47@ecole.ma
ENS0048;Hassan Benjelloun;PERMANENT;DOCTEUR;Électronique;2007-03-10;enseignant48@ecole.ma
ENS0049;Ali Idrissi;VACATAIRE;DOCTEUR;Informatique;2007-03-03;enseignant49@ecole.ma
ENS0050;Omar Sabri;PERMANENT;DOCTEUR;Électronique;2007-03-05;enseignant50@ecole.ma
ENS0051;Ahmed Naciri;VACATAIRE;DOCTORANT;Électronique;2007-03-13;enseignant51@ecole.ma
ENS0052;Amina Tazi;PERMANENT;DOCTEUR;Cybersécurité;2007-03-13;enseignant52@ecole.ma
ENS0053;Mohamed Berrada;VACATAIRE;DOCTORANT;Télécommunications;2007-03-08;enseignant53@ecole.ma
ENS0054;Amina El Amrani;VACATAIRE;DOCTEUR;Informatique;2007-03-05;enseignant54@ecole.ma
ENS0055;Hassan Rami;PERMANENT;DOCTEUR;Informatique;2007-03-09;enseignant55@ecole.ma
ENS0056;Nour Alami;PERMANENT;DOCTEUR;Informatique;2007-03-08;enseignant56@ecole.ma
ENS0057;Ahmed Mansouri;VACATAIRE;DOCTEUR;Cybersécurité;2007-03-11;enseignant57@ecole.ma
ENS0058;Aisha Berrada;PERMANENT;DOCTEUR;Informatique;2007-03-04;enseignant58@ecole.ma
ENS0059;Ali Sabri;VACATAIRE;DOCTORANT;Informatique;2007-03-11;enseignant59@ecole.ma
ENS0060;Omar Alami;PERMANENT;DOCTEUR;Cybersécurité;2007-03-12;enseignant60@ecole.ma
ENS0061;Ali Benali;VACATAIRE;DOCTEUR;Télécommunications;2007-03-05;enseignant61@ecole.ma
ENS0062;Amina Fassi;PERMANENT;DOCTEUR;Électronique;2007-03-03;enseignant62@ecole.ma
ENS0063;Youssef Benjelloun;PERMANENT;DOCTEUR;Télécommunications;2007-03-16;enseignant63@ecole.ma
ENS0064;Ali El Amrani;PERMANENT;DOCTORANT;Télécommunications;2007-03-14;enseignant64@ecole.ma
ENS0065;Omar Berrada;PERMANENT;DOCTEUR;Industrielle;2007-03-15;enseignant65@ecole.ma
ENS0066;Amina Fassi;VACATAIRE;DOCTEUR;Industrielle;2007-03-16;enseignant66@ecole.ma
ENS0067;Nour Mansouri;PERMANENT;DOCTEUR;Industrielle;2007-03-07;enseignant67@ecole.ma
ENS0068;Salma Rami;PERMANENT;DOCTEUR;Cybersécurité;2007-03-15;enseignant68@ecole.ma
ENS0069;Omar El Amrani;PERMANENT;DOCTEUR;Énergie;2007-03-07;enseignant69@ecole.ma
ENS0070;Omar Idrissi;VACATAIRE;DOCTEUR;Énergie;2007-03-12;enseignant70@ecole.ma
ENS0071;Mehdi Idrissi;PERMANENT;DOCTEUR;Télécommunications;2007-03-07;enseignant71@ecole.ma
ENS0072;Ali Sabri;PERMANENT;DOCTEUR;Cybersécurité;2007-03-07;enseignant72@ecole.ma
