StudentID;FullName;Gender;DateOfBirth;Level;Cycle;EnrollmentYear;Status;FiliereID;GroupID
STU00143;Rida Essalhi;M         ;0028-03-28;AP1;PREPA;2024;Actif;7;3
STU00001;Omar Jaidi;M         ;0013-10-27;AP1;PREPA;2024;Actif;7;1
STU00144;Rachid Tabbakh;M         ;0010-12-27;AP1;PREPA;2024;Actif;7;4
STU00002;Abdelilah Ibrahimi;M         ;0027-07-30;AP1;PREPA;2024;Actif;7;2
STU00145;Sara Naciri;F         ;0018-10-27;AP1;PREPA;2024;Actif;7;5
STU00003;Ghali Erraji;M         ;0006-06-29;AP1;PREPA;2024;Actif;7;3
STU00146;Dounia Abdelmajid;F         ;0016-11-26;AP1;PREPA;2024;Actif;7;6
STU00004;Yassir Oudghiri;M         ;0026-02-27;AP1;PREPA;2024;Actif;7;4
STU00147;Widad Mabrouki;F         ;0014-12-27;AP1;PREPA;2024;Actif;7;7
STU00005;Aziz Marrakchi;M         ;0027-05-29;AP1;PREPA;2024;Actif;7;5
STU00148;Malek Fassi;M         ;0024-05-28;AP1;PREPA;2024;Actif;7;8
STU00006;Jihane Abdelkarim;F         ;0015-03-29;AP1;PREPA;2024;Actif;7;6
STU00149;Anir Tetuani;M         ;0009-04-28;AP1;PREPA;2024;Actif;7;9
STU00007;Driss Zaari;M         ;0028-08-26;AP1;PREPA;2024;Actif;7;7
STU00150;Chakib Alaoui;M         ;0012-09-26;AP1;PREPA;2024;Actif;7;10
STU00008;Tissila Azergui;F         ;0012-08-26;AP1;PREPA;2024;Actif;7;8
STU00151;Kamal Ben Tahar;M         ;0010-09-27;AP1;PREPA;2024;Actif;7;1
STU00009;Halima El Alami;F         ;0009-12-27;AP1;PREPA;2024;Actif;7;9
STU00152;Ilham El Kadiri;F         ;0013-03-28;AP1;PREPA;2024;Actif;7;2
STU00010;Meryem Mazigh;F         ;0015-03-29;AP1;PREPA;2024;Actif;7;10
STU00153;Majda Senhaji;F         ;0011-11-27;AP1;PREPA;2024;Actif;7;3
STU00011;Abderrahmane Abderrahmane;M         ;0010-02-27;AP1;PREPA;2024;Actif;7;1
STU00154;Faouzi Znagui;M         ;0015-08-27;AP1;PREPA;2024;Actif;7;4
STU00012;Naima Zahraoui;F         ;0032-10-26;AP1;PREPA;2024;Actif;7;2
STU00155;Ezzedine Benjelloun;M         ;0024-10-26;AP1;PREPA;2024;Actif;7;5
STU00013;Aziza Ait Moulay;F         ;0009-05-28;AP1;PREPA;2024;Actif;7;3
STU00156;Aicha Elmalki;F         ;0008-09-26;AP1;PREPA;2024;Actif;7;6
STU00014;Rafik Agadiri;M         ;0008-10-26;AP1;PREPA;2024;Actif;7;4
STU00157;Khalid Chafik;M         ;0033-10-27;AP1;PREPA;2024;Actif;7;7
STU00015;Tariq Zouiten;M         ;0020-10-26;AP1;PREPA;2024;Actif;7;5
STU00158;Brahim Tahri;M         ;0017-06-28;AP1;PREPA;2024;Actif;7;8
STU00016;Aya Tanjaoui;F         ;0012-11-26;AP1;PREPA;2024;Actif;7;6
STU00159;Houria Tanjaoui;F         ;0022-07-30;AP1;PREPA;2024;Actif;7;9
STU00017;Majda Benslimane;F         ;0009-04-28;AP1;PREPA;2024;Actif;7;7
STU00160;Aisha Amrani;F         ;0010-01-27;AP1;PREPA;2024;Actif;7;10
STU00018;Wissam Guedira;M         ;0011-09-27;AP1;PREPA;2024;Actif;7;8
STU00161;Dihya Sabbagh;F         ;0029-01-26;AP1;PREPA;2024;Actif;7;1
STU00019;Tayri Haouzi;F         ;0029-04-28;AP1;PREPA;2024;Actif;7;9
STU00162;Fayçal Ait Said;M         ;0023-05-29;AP1;PREPA;2024;Actif;7;2
STU00020;Yacine Atiki;M         ;0013-06-28;AP1;PREPA;2024;Actif;7;10
STU00163;Fadwa Zaari;F         ;0031-02-27;AP1;PREPA;2024;Actif;7;3
STU00021;Amazigh Lahlou;M         ;0008-10-26;AP1;PREPA;2024;Actif;7;1
STU00164;Loubna Abdellah;F         ;0025-05-28;AP1;PREPA;2024;Actif;7;4
STU00022;Brahim Elmalki;M         ;0012-11-26;AP1;PREPA;2024;Actif;7;2
STU00165;Tamurt Sahraoui;F         ;0014-07-30;AP1;PREPA;2024;Actif;7;5
STU00023;Aicha Tabbakh;F         ;0011-01-27;AP1;PREPA;2024;Actif;7;3
STU00166;Nisrine Mabrouki;F         ;0025-01-26;AP1;PREPA;2024;Actif;7;6
STU00024;Rahma Riffi;F         ;0024-05-28;AP1;PREPA;2024;Actif;7;4
STU00167;Tissila Alaoui;F         ;0034-01-27;AP1;PREPA;2024;Actif;7;7
STU00025;Rayhana Zoulikha;F         ;0024-12-26;AP1;PREPA;2024;Actif;7;5
STU00168;Sara Boujemaa;F         ;0017-09-27;AP1;PREPA;2024;Actif;7;8
STU00026;Dihya Meknassi;F         ;0022-08-27;AP1;PREPA;2024;Actif;7;6
STU00169;Tissila Azergui;F         ;0029-03-28;AP1;PREPA;2024;Actif;7;9
STU00027;Samira Mekouar;F         ;0033-06-28;AP1;PREPA;2024;Actif;7;7
STU00170;Amal El Amrani;F         ;0013-02-26;AP1;PREPA;2024;Actif;7;10
STU00028;Abdessamad Makkaoui;M         ;0031-08-27;AP1;PREPA;2024;Actif;7;8
STU00171;Nabil Ennibi;M         ;0021-12-27;AP1;PREPA;2024;Actif;7;1
STU00029;Chadia Filali;F         ;0018-12-27;AP1;PREPA;2024;Actif;7;9
STU00172;Zakariya Boucetta;M         ;0029-04-28;AP1;PREPA;2024;Actif;7;2
STU00030;Rania Zayani;F         ;0034-02-27;AP1;PREPA;2024;Actif;7;10
STU00173;Jamila Tijani;F         ;0008-06-28;AP1;PREPA;2024;Actif;7;3
